               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.045869,            0.057813,            0.029269,              0.6878,             0.55165,             0.64954,              0.2797,             0.04916,             0.03903,               0.026,           0.0073517,           0.0073517,           0.0073517
                 109,            0.045573,            0.052825,            0.028751,              0.6559,             0.55946,             0.58331,             0.36237,            0.047016,            0.040759,            0.025773,            0.007327,            0.007327,            0.007327
                 110,            0.047678,            0.046257,            0.027133,              0.6559,             0.55946,             0.58331,             0.36237,            0.047016,            0.040759,            0.025773,           0.0073023,           0.0073023,           0.0073023
                 111,            0.049074,            0.056817,            0.028949,             0.72111,             0.54308,             0.63697,             0.33329,            0.047492,            0.040983,            0.025903,           0.0072775,           0.0072775,           0.0072775
                 112,            0.048446,            0.056163,            0.028478,             0.72111,             0.54308,             0.63697,             0.33329,            0.047492,            0.040983,            0.025903,           0.0072527,           0.0072527,           0.0072527
                 113,            0.046474,             0.04661,            0.027931,             0.69412,             0.56763,             0.58252,             0.31254,            0.046624,            0.040557,            0.025992,            0.007228,            0.007228,            0.007228
                 114,            0.045937,            0.047928,            0.028879,             0.69412,             0.56763,             0.58252,             0.31254,            0.046624,            0.040557,            0.025992,           0.0072033,           0.0072033,           0.0072033
                 115,            0.047134,            0.057806,            0.027288,              0.6571,             0.58358,             0.61502,             0.35507,            0.049702,            0.040679,            0.026407,           0.0071785,           0.0071785,           0.0071785
                 116,            0.050796,             0.04177,            0.024708,              0.6571,             0.58358,             0.61502,             0.35507,            0.049702,            0.040679,            0.026407,           0.0071538,           0.0071538,           0.0071538
                 117,            0.049427,            0.046495,            0.027801,             0.68345,             0.63578,             0.62355,             0.29115,            0.051008,            0.039293,            0.026048,            0.007129,            0.007129,            0.007129
                 118,            0.053198,            0.051372,            0.027631,             0.68345,             0.63578,             0.62355,             0.29115,            0.051008,            0.039293,            0.026048,           0.0071042,           0.0071042,           0.0071042
                 119,            0.055525,            0.057698,            0.027359,             0.73384,             0.46082,             0.62482,             0.34183,            0.053326,            0.040492,            0.025871,           0.0070795,           0.0070795,           0.0070795
                 120,            0.052044,            0.051946,            0.026783,             0.73384,             0.46082,             0.62482,             0.34183,            0.053326,            0.040492,            0.025871,           0.0070547,           0.0070547,           0.0070547
                 121,            0.050331,            0.047274,            0.027643,               0.674,             0.66373,             0.74813,             0.29702,             0.04437,            0.038655,            0.025587,             0.00703,             0.00703,             0.00703
                 122,            0.046164,            0.043937,            0.025965,               0.674,             0.66373,             0.74813,             0.29702,             0.04437,            0.038655,            0.025587,           0.0070053,           0.0070053,           0.0070053
                 123,             0.04611,            0.047573,            0.027038,             0.72756,             0.52201,             0.67651,             0.40376,            0.050279,            0.041597,            0.024828,           0.0069805,           0.0069805,           0.0069805
                 124,            0.045121,            0.040851,             0.02666,             0.72756,             0.52201,             0.67651,             0.40376,            0.050279,            0.041597,            0.024828,           0.0069558,           0.0069558,           0.0069558
                 125,            0.047047,            0.051685,            0.027946,             0.68931,             0.60318,             0.74065,             0.32455,            0.044329,            0.041975,            0.024977,            0.006931,            0.006931,            0.006931
                 126,            0.046227,            0.042947,             0.02626,             0.68931,             0.60318,             0.74065,             0.32455,            0.044329,            0.041975,            0.024977,           0.0069063,           0.0069063,           0.0069063
                 127,            0.049165,            0.045339,            0.028502,             0.73298,             0.51704,             0.71408,             0.36578,            0.047724,            0.042863,             0.02466,           0.0068815,           0.0068815,           0.0068815
                 128,            0.043734,             0.04632,            0.027373,             0.73298,             0.51704,             0.71408,             0.36578,            0.047724,            0.042863,             0.02466,           0.0068568,           0.0068568,           0.0068568
                 129,            0.044276,            0.046546,            0.025753,             0.69471,             0.64837,             0.68263,             0.30406,             0.04496,            0.040375,            0.024265,            0.006832,            0.006832,            0.006832
                 130,            0.046754,            0.041435,             0.02599,             0.69471,             0.64837,             0.68263,             0.30406,             0.04496,            0.040375,            0.024265,           0.0068073,           0.0068073,           0.0068073
                 131,            0.046802,            0.044014,             0.02362,             0.66704,             0.55524,             0.69529,              0.3654,            0.049807,            0.040463,            0.024117,           0.0067825,           0.0067825,           0.0067825
                 132,            0.046885,            0.044431,            0.026482,             0.66704,             0.55524,             0.69529,              0.3654,            0.049807,            0.040463,            0.024117,           0.0067577,           0.0067577,           0.0067577
                 133,            0.044136,            0.049905,            0.027934,             0.80423,             0.62956,                0.77,             0.36757,             0.04158,            0.038548,            0.023827,            0.006733,            0.006733,            0.006733
                 134,            0.042679,            0.042575,            0.026591,             0.80423,             0.62956,                0.77,             0.36757,             0.04158,            0.038548,            0.023827,           0.0067082,           0.0067082,           0.0067082
                 135,            0.044086,            0.042766,            0.025464,             0.70506,             0.62805,             0.74025,             0.41396,            0.045378,             0.03896,            0.023849,           0.0066835,           0.0066835,           0.0066835
                 136,            0.042472,            0.046074,            0.026556,             0.70506,             0.62805,             0.74025,             0.41396,            0.045378,             0.03896,            0.023849,           0.0066587,           0.0066587,           0.0066587
                 137,            0.042082,            0.045869,            0.024171,             0.73889,             0.63122,              0.6964,             0.33272,            0.043877,             0.03794,            0.023878,            0.006634,            0.006634,            0.006634
                 138,            0.047648,            0.053958,            0.024279,             0.73889,             0.63122,              0.6964,             0.33272,            0.043877,             0.03794,            0.023878,           0.0066092,           0.0066092,           0.0066092
                 139,            0.047079,            0.042841,            0.026995,             0.67258,             0.58832,             0.66288,             0.33801,            0.049102,            0.039976,            0.023803,           0.0065845,           0.0065845,           0.0065845
                 140,            0.046582,            0.045412,             0.02569,             0.67258,             0.58832,             0.66288,             0.33801,            0.049102,            0.039976,            0.023803,           0.0065598,           0.0065598,           0.0065598
                 141,            0.044918,            0.044989,            0.024545,              0.7719,             0.66644,             0.77513,             0.34967,             0.04055,            0.037396,            0.024103,            0.006535,            0.006535,            0.006535
                 142,            0.040194,            0.041966,            0.023857,              0.7719,             0.66644,             0.77513,             0.34967,             0.04055,            0.037396,            0.024103,           0.0065102,           0.0065102,           0.0065102
                 143,            0.041812,            0.043613,            0.024446,             0.75258,             0.64488,             0.74539,             0.41039,            0.046616,            0.039964,            0.023876,           0.0064855,           0.0064855,           0.0064855
                 144,            0.044954,            0.050115,            0.026234,             0.75258,             0.64488,             0.74539,             0.41039,            0.046616,            0.039964,            0.023876,           0.0064608,           0.0064608,           0.0064608
                 145,            0.040776,            0.046734,            0.025273,             0.77575,             0.66411,             0.77647,             0.37261,            0.043521,            0.037889,            0.023842,            0.006436,            0.006436,            0.006436
                 146,            0.042521,            0.043514,            0.026524,             0.77575,             0.66411,             0.77647,             0.37261,            0.043521,            0.037889,            0.023842,           0.0064112,           0.0064112,           0.0064112
                 147,            0.051027,             0.04673,            0.024411,             0.71722,             0.59452,             0.71275,             0.35226,            0.045266,            0.039049,            0.023672,           0.0063865,           0.0063865,           0.0063865
                 148,            0.042343,            0.048431,            0.024435,             0.71722,             0.59452,             0.71275,             0.35226,            0.045266,            0.039049,            0.023672,           0.0063618,           0.0063618,           0.0063618
                 149,            0.041237,            0.048261,            0.025681,             0.77086,             0.68919,             0.75518,             0.39348,            0.041883,             0.03758,            0.023438,            0.006337,            0.006337,            0.006337
                 150,            0.041291,            0.042216,            0.026202,             0.77086,             0.68919,             0.75518,             0.39348,            0.041883,             0.03758,            0.023438,           0.0063122,           0.0063122,           0.0063122
                 151,            0.042292,            0.048573,            0.025378,             0.74296,              0.6328,             0.72184,             0.35803,            0.041687,            0.037389,             0.02309,           0.0062875,           0.0062875,           0.0062875
                 152,            0.042514,            0.046397,            0.025684,             0.74296,              0.6328,             0.72184,             0.35803,            0.041687,            0.037389,             0.02309,           0.0062628,           0.0062628,           0.0062628
                 153,            0.041791,             0.04538,            0.026042,             0.80596,             0.67617,             0.77919,              0.3896,            0.041897,            0.036085,            0.022627,            0.006238,            0.006238,            0.006238
